,passes_per90,pass_success_rate,dribble_success_rate,shots_per90,total_pxt_per90,final_third_actions_per90,opponent_box_actions_per90,between_lines_receptions_per90,wide_availability_per90,box_availability_per90,hold_up_actions_per90,interceptions_per90,loose_ball_regains_per90,ground_duels_per90,clearances_per90,blocks_per90,high_pressure_actions_per90
22,0.28568361708890405,0.3134214602103912,0.30070320145504126,-0.0010562101968069717,-0.39276782835843,0.4460277346327461,-0.8769108451884277,-0.6715643033506076,1.6564843759766252,-0.5155051284414176,-1.239665970151215,-0.35688163481141766,1.253877512887632,-0.3263176621309243,-0.6282829749996469,0.28924219136041995,-0.536264485041787
23,0.6502468701581356,1.1675598044204416,0.7506168837278407,0.5031766566935145,-0.16329225036831999,-0.343054454687102,0.2982704598687845,1.2044145882951547,-0.8007918098963578,-0.5155051284414176,-0.6809162189226683,2.1074656455429395,1.2997899118862302,0.8817265573364444,1.3813022775637034,1.2853639548902387,0.9760895455663444
24,0.7664712165377349,-0.4573863138328244,0.3800997336208291,0.5031766566935145,1.6802065888451692,1.4525461478226318,0.8858611123973903,1.7965854772742966,0.6771057369032726,0.9557243616279795,0.43658328353442505,1.238494725132216,-0.8158451036961004,-0.4342704997147234,-0.19034888927927363,-1.097880438907952,0.20073053464020285
25,0.12723731144993972,0.46845507912543183,0.284039731741233,-0.10001775044744289,-0.021516883997637747,0.19562572606581813,-0.4851837435026903,1.7965854772742966,-0.6269215102728718,-0.5155051284414176,-0.40154134330839497,2.1074656455429395,0.829648797312379,-1.0922690282403074,-0.19034888927927363,0.09374175799114343,0.28688153585421833
26,-0.5260707534027869,-0.34131873395759066,-0.29918170824202567,0.7010997371947864,2.150246678321741,0.4460277346327461,1.4030631644084157,1.5687383198185167,-0.8734641677699796,1.197097846984918,1.3620124027519729,-0.8626498354556859,-0.6615801162141902,-0.3263176621309243,-0.018449616158035458,-0.404319123773766,0.9680126723728766
27,-0.5640469308203552,-0.23580275225283315,-1.1390205818179182,0.1288018530548045,0.9043300376749379,1.2080392502782107,1.5545622402999393,-0.19941748439858867,0.1045610335331067,1.5138299153152899,-0.46895653391978975,0.429499779609227,-1.4318836150025605,1.6305545999368232,-1.2381163338412584,-0.27605056824255886,-0.5032752445862251
28,0.7083590433479353,0.7300743110445621,0.3800997336208291,-0.7032121575884003,-0.8478430290277625,-1.2408547559419687,-0.8769108451884277,-0.8681835231318413,-0.8007918098963578,-0.5155051284414176,-0.9602910945369416,1.238494725132216,1.7699310264600816,-0.4342704997147234,2.4290697221256883,-0.5020693404584042,-0.23002447142987587
30,0.30157383101933855,-0.14787276749886838,0.7506168837278407,-0.10001775044744289,-0.34689816856972433,0.016065665814844744,-0.28932019265982156,-0.7201408008870559,1.3725869353972162,0.9557243616279795,-1.239665970151215,-0.06496165548386904,1.0647193545993048,-0.4342704997147234,-0.19034888927927363,0.09374175799114343,-1.0053834823560175
33,2.073426282717702,0.8025356764070268,0.7506168837278407,-0.06341679817709472,-0.09775955952013396,-1.1877931599795568,-0.4614143172910659,-0.7021747702120148,-0.1447698843146809,-0.5155051284414176,-0.9433390366815659,-0.9075686351768522,1.2358841958955666,1.001505715356205,0.9845725400505977,-1.097880438907952,-0.083654010941304
34,-1.0097106347570037,1.6135172390966153,-0.29918170824202567,1.8538583957011505,1.8959875449263108,-0.09369513126314759,0.3685505990669538,-0.70243380864362,0.8680216836131683,-0.5155051284414176,-0.0553359112101193,-1.368418036099954,-0.7596127881668397,-1.0922690282403074,-1.2381163338412584,-1.097880438907952,-1.898174265158613
35,0.22651694422545976,-0.7282106668750352,-1.768899736999837,0.5774357474054318,1.3971034886202776,2.3863158678542704,0.3706085768191954,2.7555050541424775,-0.4209435264625079,-0.5155051284414176,1.7260515906195666,-1.368418036099954,-1.2570467492851347,0.3047340392108724,-0.12585371426636938,-1.097880438907952,1.3817240998937506
36,-1.0097106347570037,-1.7130264961194386,0.7506168837278407,1.8538583957011505,1.1078032706719316,0.09660327716828443,1.6140120433223353,-1.0162262453766269,-0.9746621095198437,-0.5155051284414176,1.1289941477309764,-1.368418036099954,-0.7596127881668397,-1.0922690282403074,-1.2381163338412584,0.1650051226390517,1.1924796310074097
37,2.3160140217445773,0.5872219050442756,0.12073772854592062,-0.7032121575884003,-0.2108192639584823,-0.3791427439102956,-0.8769108451884277,-0.07484893517760653,3.447778993999385,-0.5155051284414176,-0.6475009406806671,1.3943976406640124,0.7351590288486052,-1.0922690282403074,-0.1276885648389171,3.3496287335043466,-0.816189583312923
38,2.323951773651846,0.5872219050442756,0.12073772854592062,-0.7032121575884003,-0.20899068345541344,-0.37757051583111556,-0.8769108451884277,-0.0732934204968507,3.455086554938843,-0.5155051284414176,-0.6465224579970585,1.39896286684789,0.739275584949538,-1.0922690282403074,-0.12585371426636938,3.3496287335043466,-0.8131722302786496
39,1.0255745935048837,0.9459762428404502,0.43567730613688066,0.5763785612342108,-0.1108196912099253,-0.2355156527268984,-0.04591778939370416,0.8680826056110443,-0.9746621095198437,-0.5155051284414176,1.1309494976059762,1.3966783694386575,-0.26012156847411816,1.6994306298883761,2.6515891954694895,0.16604764583867307,1.3784022716192748
40,0.8570587223022456,-0.10323139062377884,0.7506168837278407,0.10421039121152352,0.11938107978058288,-0.008681832147809043,-0.09037513348579991,1.559940574547153,0.0726629231608361,1.453849777171707,1.0041238077579009,-0.20523298815390698,-0.812146754117676,-1.0922690282403074,-1.2381163338412584,-1.097880438907952,-1.2584148539111197
41,0.5459080986377539,1.5524154640067407,0.7506168837278407,-0.7032121575884003,-0.5403790698939376,-0.910013391638477,-0.8769108451884277,-0.025392853098249825,0.5381407154633605,-0.5155051284414176,-0.49173604418150973,0.95795205979214,-0.812146754117676,-1.0922690282403074,-1.2381163338412584,-1.097880438907952,-1.0277752453259204
42,-0.6386604423037118,-1.6309585103490711,0.7506168837278407,-0.06341679817709472,-0.3167252665727995,-0.28312952808953135,0.36957873850365747,0.23997965528182075,-0.7902416150298075,2.6054979486162826,0.8346225641363273,-0.44671923425375015,-0.26012156847411816,-0.3943441137081365,-0.6824441153682943,-0.4659163965346394,0.9215096833190936
43,-0.020240094530585766,-0.4573863138328244,-1.1874728245242194,0.5774357474054318,0.9254582067358527,1.3379451705942964,0.7864483841550698,-0.38760436212344274,1.0556393616903879,2.608076492868651,0.5397645663112538,-1.368418036099954,-0.7579661657264667,1.7017371066620521,-0.12585371426636938,-1.097880438907952,0.2842759348075503
44,2.874724633292211,1.1969263005334523,0.7506168837278407,-0.06341679817709472,-0.07919291356978658,-1.2354070353421895,-0.4614143172910659,-1.0162262453766269,-0.6058211205397713,-0.5155051284414176,-0.9433390366815659,-0.9075686351768522,1.485218489957181,1.001505715356205,-0.1267718968953303,0.16604764583867307,0.09910302437876835
46,-0.024310736534313093,1.1675598044204416,0.7506168837278407,-0.7032121575884003,-0.7273332563387152,-0.1888443354788636,-0.8769108451884277,-1.0162262453766269,1.2365584422397708,-0.5155051284414176,-0.0553359112101193,-1.368418036099954,-0.2613555158283581,-1.0922690282403074,-1.2381163338412584,-1.097880438907952,-1.898174265158613
48,0.7200310217375504,1.04256394917019,0.7506168837278407,-0.7032121575884003,-0.46561223351092884,-0.2822640888074815,-0.8769108451884277,-1.0162262453766269,1.9785036667859475,-0.5155051284414176,0.5397645663112538,1.39896286684789,0.24019500139086974,-1.0922690282403074,-0.12585371426636938,0.16709189168459587,-0.6302642027642827
50,0.5780181755574163,1.0772850200730373,0.7506168837278407,-0.7032121575884003,-0.7552863443757974,-0.9779142906358215,-0.8769108451884277,-0.3515196952229659,-0.8770781779319963,-0.5155051284414176,-0.6124743495387643,1.0701122658785036,0.0909249194609575,0.3849259505822061,-0.6500615202732061,0.2397048668351404,-0.6114741382732082
52,-0.43623139268800176,-0.9216566333337566,0.266094456664826,0.4798456010420619,0.07027228100504389,0.9585019820852485,0.08346731280823136,-0.5806873318347618,1.1566843988548965,0.92727139795449,0.13019344104790787,-0.0901699573144,-0.8340297691676343,0.8435503074263134,0.30313975605456533,0.07069628255053464,-0.44564570749045174
54,-0.5140047579950231,-0.0511497842695077,0.7506168837278407,-0.0423164982134363,-0.7170335497109223,-0.6420564097723428,-0.018511834525385733,-0.6918174266762631,0.9303642792366678,-0.5155051284414176,-0.9335662443479771,1.4878705963391199,-0.468340931655584,-1.0922690282403074,0.48387813746257297,-0.4450743715587274,-0.3768406748443191
55,0.05617499978746606,0.6971806649260747,0.7506168837278407,-0.02613180645217403,-0.06671378770006357,-0.7763597218177449,0.0025095221724217823,1.3102466801611865,-0.9746621095198437,-0.5155051284414176,0.6419088916861371,1.5578183262741956,-0.4368042954832599,-1.0922690282403074,-0.06200670670515374,-0.42908778603640574,0.5489706429548532
56,0.98847630828633,1.2673371976465186,0.3800997336208291,-0.11168327827316919,-0.46636870351815857,-1.1545473423634012,-0.30068395039043216,-0.7258669696820502,-0.46313894750990603,-0.5155051284414176,-0.9656940879113903,-1.368418036099954,0.5491165763466187,-1.0922690282403074,-1.2381163338412584,-0.5135920781787087,-0.6991003380210515
58,1.4463838055000406,0.6259110983360199,0.7506168837278407,1.4460648451292475,1.242187774065043,0.828693159336833,0.8678211206321008,2.4125212607810544,0.10951076413687748,2.1056064661719227,1.7467045342152685,-0.5943478552599354,-0.9185337862001491,-1.0922690282403074,-1.2381163338412584,1.0250886680690379,1.3483527210490363
