match_id,player_id,player_name,player_position,position_side,first_event_minute,last_event_minute,total_events,passes,successful_passes,failed_passes,receptions,dribbles,successful_dribbles,failed_dribbles,shots,successful_shots,between_lines_receptions,wide_availability,box_availability,hold_up_actions,back_availability,fdr_availability,final_third_actions,opponent_box_actions,interceptions,loose_ball_regains,ground_duels,clearances,blocks,high_pressure_actions,average_pressure,total_pxt,average_pxt,max_pxt,average_distance_to_goal,average_x,average_y,minutes,total_events_per90,passes_per90,receptions_per90,dribbles_per90,shots_per90,between_lines_receptions_per90,wide_availability_per90,box_availability_per90,hold_up_actions_per90,back_availability_per90,fdr_availability_per90,final_third_actions_per90,opponent_box_actions_per90,interceptions_per90,loose_ball_regains_per90,ground_duels_per90,clearances_per90,blocks_per90,high_pressure_actions_per90,total_pxt_per90,pass_attempts_with_result,pass_success_rate,dribble_attempts_with_result,dribble_success_rate
122848,622,Ginter,CENTRAL_DEFENDER,CENTRE_RIGHT,0.77915,219.0637,141,48,34,13,31,32,31,1,0,0,3,4,0,0,24,0,4,0,5,16,1,3,1,31,20.857142857142858,0.340805,0.002417056737588653,0.01257,67.78928571428571,39.89,23.018571428571427,99.72798333333334,127.24613068314659,43.317831721922246,27.97609965374145,28.878554481281498,0.0,2.7073644826201404,3.609819310160187,0.0,0.0,21.658915860961123,0.0,3.609819310160187,0.0,4.512274137700234,14.439277240640749,0.9024548275400468,2.7073644826201404,0.9024548275400468,27.97609965374145,0.30756111749978565,47,0.723404255319149,32,0.96875
122848,862,Sallai,CENTER_FORWARD,CENTRE_LEFT,1.5744333333333331,181.7573833333333,71,18,12,3,23,18,13,3,4,0,10,3,1,5,1,1,48,5,1,3,1,1,0,21,32.89855072463768,1.54355,0.02174014084507042,0.172077,38.81857142857143,70.31142857142858,41.83571428571429,62.6801,101.94623173862198,25.845523539368955,33.024835633638105,25.845523539368955,5.743449675415323,14.358624188538307,4.307587256561492,1.4358624188538307,7.179312094269154,1.4358624188538307,1.4358624188538307,68.92139610498387,7.179312094269154,1.4358624188538307,4.307587256561492,1.4358624188538307,1.4358624188538307,0.0,30.153110795930445,2.2163254366218306,15,0.8,16,0.8125
122848,986,Kübler,LEFT_WINGBACK_DEFENDER,LEFT,0.2207499999999999,202.21081666666663,132,41,31,8,30,28,27,1,1,0,2,26,0,0,1,0,34,0,2,11,1,1,2,21,17.95275590551181,0.566755,0.004293598484848485,0.019222,61.20384615384615,50.33846153846154,56.68692307692308,85.67236666666666,138.6678162659216,43.071064143202925,31.515412787709458,29.41438526852883,1.0505137595903153,2.1010275191806307,27.313357749348196,0.0,0.0,1.0505137595903153,0.0,35.71746782607072,0.0,2.1010275191806307,11.555651355493469,1.0505137595903153,1.0505137595903153,2.1010275191806307,22.06078895139662,0.5953839258166091,39,0.7948717948717948,28,0.9642857142857143
122848,1050,Höfler,DEFENSE_MIDFIELD,CENTRE_LEFT,0.0,214.42805,164,54,45,5,37,32,32,0,2,0,15,2,0,2,16,0,22,6,8,13,3,5,4,42,29.748427672955973,0.8234630000000001,0.005021115853658537,0.034462,56.28834355828221,51.263803680981596,41.426993865030674,99.72798333333334,148.00259171656768,48.732560687162525,33.39082861898173,28.878554481281498,1.8049096550800936,13.536822413100701,1.8049096550800936,0.0,1.8049096550800936,14.439277240640749,0.0,19.854006205881028,5.414728965240281,7.219638620320374,11.731912758020608,2.7073644826201404,4.512274137700234,3.609819310160187,37.90310275668197,0.7431381596506096,50,0.9,32,1.0
122848,1294,Grifo,LEFT_WINGER,LEFT,0.0025333333333333,216.33753333333337,168,56,35,15,52,36,33,1,2,0,19,19,1,6,5,0,62,9,6,4,1,2,0,33,24.518072289156628,2.138751,0.012730660714285715,0.202993,49.081547619047626,61.72678571428572,46.48154761904762,99.72798333333334,151.61241102672787,50.53747034224262,46.92765103208243,32.48837379144168,1.8049096550800936,17.14664172326089,17.14664172326089,0.9024548275400468,5.414728965240281,4.512274137700234,0.0,55.9521993074829,8.12209344786042,5.414728965240281,3.609819310160187,0.9024548275400468,1.8049096550800936,0.0,29.781009308821545,1.9301261648561028,50,0.7,34,0.9705882352941176
122848,1320,Eggestein,DEFENSE_MIDFIELD,CENTRE_RIGHT,0.1461333333333333,216.4366,130,45,35,8,31,28,26,1,1,0,19,4,0,3,5,0,34,2,8,11,0,2,2,34,27.34375,0.924616,0.007112430769230769,0.035805,50.733333333333334,56.575968992248065,28.352713178294575,99.72798333333334,117.31912758020609,40.6104672393021,27.97609965374145,25.26873517112131,0.9024548275400468,17.14664172326089,3.609819310160187,0.0,2.7073644826201404,4.512274137700234,0.0,30.68346413636159,1.8049096550800936,7.219638620320374,9.927003102940514,0.0,1.8049096550800936,1.8049096550800936,30.68346413636159,0.8344241728207679,43,0.813953488372093,27,0.9629629629629629
122848,9604,Höler,CENTER_FORWARD,CENTRE_RIGHT,1.40045,202.14733333333336,82,29,20,8,28,12,11,1,2,0,15,1,1,8,0,0,34,10,1,4,1,2,1,36,47.625,2.125412,0.025919658536585365,0.523887,41.86829268292683,66.65,35.646341463414636,85.67236666666666,86.14212828640585,30.46489902811914,29.41438526852883,12.606165115083783,2.1010275191806307,15.757706393854729,1.0505137595903153,1.0505137595903153,8.404110076722523,0.0,0.0,35.71746782607072,10.505137595903152,1.0505137595903153,4.202055038361261,1.0505137595903153,2.1010275191806307,1.0505137595903153,37.81849534525135,2.232774550798371,28,0.7142857142857143,12,0.9166666666666666
122848,15811,Doan,RIGHT_WINGER,RIGHT,1.4659833333333334,186.63981666666663,78,24,16,6,21,20,17,3,1,0,4,9,1,2,0,2,41,9,3,1,3,0,1,18,29.2,1.149228,0.014733692307692307,0.13257,42.77922077922078,69.73766233766234,21.058441558441558,72.3009,97.0942270428169,29.8751467824052,26.140753434604548,24.895955652004332,1.2447977826002166,4.979191130400866,11.20318004340195,1.2447977826002166,2.489595565200433,0.0,2.489595565200433,51.03670908660888,11.20318004340195,3.73439334780065,1.2447977826002166,3.73439334780065,0.0,1.2447977826002166,22.4063600868039,1.4305564661020815,22,0.7272727272727273,20,0.85
122848,23350,Lienhart,CENTRAL_DEFENDER,CENTRE_LEFT,0.0385833333333333,216.62351666666663,173,55,44,8,42,35,33,1,0,0,1,2,0,1,38,0,2,0,6,15,1,7,1,28,15.773809523809524,0.335054,0.001936728323699422,0.005388,72.51976744186047,34.2796511627907,42.43313953488372,99.72798333333334,156.1246851644281,49.63501551470257,37.90310275668197,31.585918963901637,0.0,0.9024548275400468,1.8049096550800936,0.0,0.9024548275400468,34.29328344652178,0.0,1.8049096550800936,0.0,5.414728965240281,13.536822413100701,0.9024548275400468,6.317183792780328,0.9024548275400468,25.26873517112131,0.30237109978660287,52,0.8461538461538461,34,0.9705882352941176
122848,62650,Sildillia,RIGHT_WINGBACK_DEFENDER,RIGHT,0.8081833333333334,216.40141666666665,146,48,31,11,34,33,33,0,1,0,2,27,1,0,2,0,30,3,3,12,1,2,2,19,17.183098591549296,0.692465,0.004742910958904109,0.020219,60.28896551724138,50.257241379310344,12.224827586206896,99.72798333333334,131.75840482084683,43.317831721922246,30.68346413636159,29.781009308821545,0.9024548275400468,1.8049096550800936,24.366280343581263,0.9024548275400468,0.0,1.8049096550800936,0.0,27.073644826201402,2.7073644826201404,2.7073644826201404,10.829457930480562,0.9024548275400468,1.8049096550800936,1.8049096550800936,17.14664172326089,0.6249183821525185,42,0.7380952380952381,33,1.0
